ID;VALIDE;DATE;HEURE;LAT.;LONG.;PRECISION LIEU;TERRE/MER/AIR;ESPECE;PRECISION ESPECE;DAUPHIN SOLITAIRE;NOM DU DAUPHIN SOLITAIRE;NOMBRE;NOMBRE MINIMUM;NOMBRE MAXIMUM;SOURCE;ORGANISMES;RESEAUX
7475;oui;22/07/2016;17:15:00;48.466548;-5.019648;1;2;Dauphin commun;A;non;0;4;1;2;Formulaire en ligne;Plaisancier;Aucun
7476;oui;21/07/2016;11:22:00;48.401172;-4.915486;1;2;Grand dauphin;B;non;0;5;1;2;Formulaire en ligne;Plaisancier;Aucun
7477;oui;22/07/2016;19:45:00;48.469183;-5.055328;1;1;Grand dauphin;A;oui;randy;1;0;0;Application mobile;Particulier;Aucun
7478;oui;23/07/2016;09:05:00;48.353283;-4.818117;1;2;Grand dauphin;A;non;0;1;10;12;Formulaire en ligne;Plaisancier;Aucun
7479;oui;23/07/2016;09:30:00;48.407554;-4.911158;1;2;Grand dauphin;A;non;0;8;1;2;Formulaire en ligne;Plaisancier;Aucun
7480;oui;23/07/2016;09:36:00;48.415758;-4.939653;1;2;Grand dauphin;A;non;0;5;1;2;Formulaire en ligne;Plaisancier;Aucun
7489;oui;23/07/2016;17:56:00;48.446579;-5.001965;1;2;Dauphin commun;B;non;0;2;1;2;Formulaire en ligne;Plaisancier;Aucun
7490;oui;25/07/2016;18:40:00;48.359146;-4.830304;1;2;Grand dauphin;A;non;0;8;1;2;Formulaire en ligne;Plaisancier;Aucun
7491;oui;25/07/2016;10:20:00;48.405206;-4.905835;1;2;Grand dauphin;A;non;0;1;2;3;Formulaire en ligne;Plaisancier;Aucun
7494;oui;26/07/2016;09:55:00;48.3595;-4.788699;1;2;Grand dauphin;A;non;0;1;1;2;Formulaire en ligne;Plaisancier;Aucun
7495;oui;24/07/2016;09:15:00;48.48961;-4.93309;1;2;Dauphin commun;A;non;0;1;1;5;Formulaire en ligne;Inconnu;Aucun
7496;oui;23/07/2016;10:57:00;48.276796;-4.284325;1;1;Dauphin commun;A;non;0;1;7;8;Formulaire en ligne;Inconnu;Aucun
7505;oui;30/07/2016;16:00:00;48.483412;-5.070744;1;1;Grand dauphin;A;non;0;1;8;11;Formulaire en ligne;Inconnu;GECC
7506;oui;30/07/2016;17:00:00;48.484841;-5.068455;1;1;Marsouin commun;A;non;0;1;1;2;Formulaire en ligne;Inconnu;GECC
